method,dataset,profile_percentage,dispersion,SFD,kl_div_pool_profile,fair_representation,pNDKL,NDKL,avg_sat_10,avg_sat_20,avg_sat_30,avg_sat_40,avg_sat_50,result,pool_grp_cnts,profile_grp_cnts,consensusranking_grp_cnts
STV,synthetic-0,0.2,0.0,0.07246029099455747,0.0,0.33333333333333337,0.3985913934133538,0.3985913934133538,0.06,0.08,0.13,0.16,0.2,"['56', '54', '0', '10', '11', '13', '26', '33', '4', '58', '62', '71', '74', '8', '80', '83', '88', '89', '94', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 2, 'grp_3': 6, 'grp_4': 6}"
MC4,synthetic-0,0.2,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.02,0.04,0.04,0.06,0.08,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.2,0.0,0.01006775269314665,0.0,0.6666666666666667,0.15558862754908578,0.15558862754908578,0.04,0.07,0.09,0.1,0.13,"['62', '94', '3', '97', '51', '20', '30', '8', '40', '11', '15', '56', '81', '92', '7', '60', '36', '32', '50', '75']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 5, 'grp_4': 5}"
EPIRA,synthetic-0,0.2,0.0,0.01006775269314665,0.0,0.6666666666666667,0.03804516757862779,0.03804516757862779,0.02,0.05,0.06,0.09,0.13,"['62', '30', '94', '3', '40', '20', '97', '8', '51', '11', '15', '56', '81', '92', '7', '60', '36', '32', '50', '75']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 5, 'grp_4': 5}"
RAPF,synthetic-0,0.2,0.0,0.04844600178627622,0.0,0.4375,0.06890588109737154,0.06890588109737154,0.03300000000000001,0.06000000000000001,0.07100000000000002,0.095,0.11800000000000002,"['67', '81', '8', '9', '40', '59', '11', '83', '63', '39', '0', '37', '92', '61', '24', '52', '15', '96', '53', '46']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 6, 'grp_4': 4}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.2,0.0,0.0,0.0,1.0,0.14702064859537345,0.14702064859537345,0.04,0.07,0.09,0.1,0.13,"['62', '94', '3', '97', '51', '20', '30', '8', '40', '11', '15', '56', '81', '92', '60', '36', '32', '50', '75', '34']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.09,0.14,0.19,0.23,"['56', '32', '13', '96', '54', '26', '19', '88', '50', '46', '8', '89', '58', '38', '10', '83', '71', '33', '0', '75']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,0.4,0.0,0.06674887147400999,0.0,0.37499999999999994,0.39777767091498334,0.39777767091498334,0.03,0.06,0.08,0.1,0.135,"['56', '54', '19', '2', '26', '38', '4', '46', '55', '58', '62', '65', '67', '71', '78', '8', '80', '84', '96', '97']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 3, 'grp_3': 8, 'grp_4': 5}"
MC4,synthetic-0,0.4,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.015,0.04,0.04,0.06,0.085,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.4,0.0,0.06674887147400997,0.0,0.37499999999999994,0.22697633413416896,0.22697633413416896,0.025,0.04,0.065,0.1,0.13,"['8', '75', '30', '92', '0', '1', '94', '11', '62', '67', '33', '32', '3', '89', '96', '26', '19', '53', '20', '7']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 4, 'grp_3': 3, 'grp_4': 5}"
