method,dataset,SFD,pNDKL,NDKL,avg_sat_10,avg_sat_20,avg_sat_30,avg_sat_40,avg_sat_50,Rep
PREFAIR,Econ Freedom,0,0,0,0.325,0.325,0.5,0.725,0.725,equal
PREFAIR,Econ Freedom,0.0043297,0.023581361,0.023581361,0.325,0.325,0.5,0.725,0.725,prop
PREFAIR,GSCI,0,0,0,0.142857143,0.285714286,0.285714286,0.404761905,0.404761905,equal
PREFAIR,GSCI,8.66894e-4,0.064519397,0.064519397,0.142857143,0.285714286,0.285714286,0.404761905,0.404761905,prop
PREFAIR,IBMHR,0,0,0,0.045,0.105,0.17,0.205,0.255,equal
PREFAIR,IBMHR,6.37908e-4,0.220228876,0.220228876,0.05,0.11,0.15,0.195,0.255,prop
PREFAIR,World Happiness,0,0,0,0.323529412,0.352941176,0.647058824,0.676470588,0.676470588,equal
PREFAIR,World Happiness,0.00385777,0.024745163,0.024745163,0.323529412,0.352941176,0.647058824,0.676470588,0.676470588,prop
PREFAIR(IMPUTE) + EPIRA,Econ Freedom,0.174837736,0.251806302,0.251806302,0,0.25,0.65,0.725,0.775,prop
PREFAIR(IMPUTE) + EPIRA,Econ Freedom,0.276363474,0.251806302,0.251806302,0,0.25,0.65,0.725,0.775,equal
PREFAIR(IMPUTE) + EPIRA,GSCI,0.195896447,0.473626199,0.473626199,0,0,0,0.142857143,0.428571429,prop
PREFAIR(IMPUTE) + EPIRA,GSCI,0.380738518,0.473626199,0.473626199,0,0,0,0.142857143,0.428571429,equal
PREFAIR(IMPUTE) + EPIRA,IBMHR,0.202903836,0.341062458,0.341062458,0.085,0.17,0.26,0.33,0.385,prop
PREFAIR(IMPUTE) + EPIRA,IBMHR,0.430832691,0.341062458,0.341062458,0.085,0.17,0.26,0.33,0.385,equal
PREFAIR(IMPUTE) + EPIRA,World Happiness,0.148073756,0.434694051,0.434694051,0.029411765,0.029411765,0.029411765,0.323529412,0.382352941,prop
PREFAIR(IMPUTE) + EPIRA,World Happiness,0.164791745,0.434694051,0.434694051,0.029411765,0.029411765,0.029411765,0.323529412,0.382352941,equal
PREFAIR(IMPUTE) + RAPF,Econ Freedom,0.01112921,0.15592386,0.15592386,0.1325,0.32,0.3925,0.5675,0.595,prop
PREFAIR(IMPUTE) + RAPF,Econ Freedom,0.054764421,0.15592386,0.15592386,0.1325,0.32,0.3925,0.5675,0.595,equal
PREFAIR(IMPUTE) + RAPF,GSCI,0.002398739,0.179551769,0.179551769,0.142857143,0.257142857,0.285714286,0.428571429,0.566666667,prop
PREFAIR(IMPUTE) + RAPF,GSCI,0.165001308,0.166585115,0.166585115,0.142857143,0.226190476,0.283333333,0.426190476,0.55952381,equal
PREFAIR(IMPUTE) + RAPF,IBMHR,9.88043e-4,0.246871943,0.246871943,0.065,0.122,0.173,0.23,0.286,prop
PREFAIR(IMPUTE) + RAPF,IBMHR,0.277846297,0.237748255,0.237748255,0.069,0.122,0.173,0.23,0.286,equal
PREFAIR(IMPUTE) + RAPF,World Happiness,0.011134506,0.090891066,0.090891066,0.088235294,0.320588235,0.326470588,0.467647059,0.5,prop
PREFAIR(IMPUTE) + RAPF,World Happiness,0.155524522,0.105646499,0.105646499,0.052941176,0.326470588,0.364705882,0.523529412,0.555882353,equal
